roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
2.088601,-92.601524,357.513458,154,66,-0.381719,0.014658,0.087046,0.139629,0
3.846771,-88.123436,351.238831,181,8,-0.377786,0.008912,0.089073,0.172852,0
1.683224,-84.117416,346.02182,205,-9,-0.351094,-0.041257,0.100531,0.288458,0
0.128377,-79.939507,340.815887,217,-14,-0.302527,-0.148724,0.112213,0.457335,0
-2.540339,-79.16449,335.960571,218,-17,-0.230645,-0.238498,0.120192,0.623343,0
-1.044764,-78.218887,333.89563,219,-18,-0.179567,-0.304178,0.131835,0.767238,2
-0.469504,-80.688148,332.518188,213,-17,-0.125048,-0.343915,0.137981,0.888641,2
-0.742881,-83.515457,334.390869,212,-18,-0.08467,-0.355525,0.139212,0.920798,2
-0.660409,-85.03717,336.23349,209,-18,-0.044952,-0.360455,0.139522,0.872762,2
-2.314129,-87.451271,339.552063,213,-18,-0.002618,-0.362717,0.139571,0.742866,2
-2.741857,-89.587227,343.835571,215,-18,0.019039,-0.370108,0.139648,0.600774,2
-2.778077,-91.892815,348.151886,214,-19,0.023364,-0.374564,0.139581,0.456938,2
-1.061789,-92.896873,351.426575,215,-19,0.024243,-0.375524,0.139503,0.310959,2
-1.123812,-94.27697,353.104431,215,-18,0.024455,-0.375761,0.1396,0.192522,2
-0.361792,-94.686127,353.768188,216,-18,0.02448,-0.375755,0.139561,0.099717,2
-1.804047,-95.352501,356.22168,216,-18,0.02453,-0.37591,0.139629,0.092407,2
-1.815199,-95.861183,359.032898,216,-18,0.024486,-0.375748,0.139561,0.10438,2
-1.767125,-96.279076,359.789825,215,-19,0.024492,-0.375817,0.139561,0.107909,2
-1.538043,-96.841705,58.349041,214,-18,0.024561,-0.375948,0.139619,0.108665,2
-1.321326,-96.99675,261.875549,214,-18,0.024567,-0.375798,0.1396,0.10884,2
-1.281902,-96.87603,0.419117,215,-19,0.024499,-0.375798,0.139552,0.108878,2
-1.433201,-96.671165,0.306007,215,-19,0.024492,-0.375798,0.1396,0.108878,2
-1.365282,-96.532341,24.845346,216,-19,0.024499,-0.375804,0.139581,0.108878,2
-1.321936,-96.38485,359.601471,215,-18,0.024536,-0.375842,0.139581,0.108878,2
-1.351723,-96.238632,0.099894,215,-18,0.024548,-0.375842,0.139581,0.108898,2
-1.357361,-96.158943,359.421906,213,-18,0.024548,-0.375842,0.139581,0.108898,2
-1.387868,-96.105713,359.469543,212,-19,0.024548,-0.375842,0.139581,0.108898,2
-1.755755,-96.304581,359.758789,212,-18,0.024499,-0.375798,0.139581,0.108888,2
-2.663513,-97.235001,0.917773,215,-20,0.024492,-0.375792,0.139581,0.108869,2
-3.807627,-97.62175,2.622013,213,-19,0.024492,-0.375792,0.1396,0.108869,2
-4.431514,-98.194191,4.496672,206,-20,0.024629,-0.375798,0.13959,0.108869,2
-3.697433,-98.696846,6.681575,211,-19,0.024499,-0.375904,0.139513,0.108917,2
-2.488409,-98.382095,7.930621,225,-10,0.024523,-0.375811,0.139687,0.108849,2
0.762932,-96.283035,7.038517,163,44,0.024505,-0.375823,0.139532,0.108966,2
-1.397785,-91.771278,211.777145,63,75,0.022155,-0.374159,0.165765,0.110866,2
2.563105,-87.682976,308.178101,52,99,-0.00296,-0.354572,0.275603,0.119096,2
1.964027,-83.772415,329.248688,45,114,-0.081442,-0.309407,0.419411,0.129712,2
1.56697,-80.243942,332.564178,40,122,-0.171315,-0.25406,0.563674,0.137409,0
4.321334,-80.20369,332.118927,39,118,-0.261613,-0.200532,0.70751,0.139086,0
2.864521,-82.582558,331.841003,39,111,-0.333632,-0.153816,0.8541,0.139522,0
0.783807,-84.64946,332.940277,39,113,-0.360124,-0.106333,0.925189,0.13959,0
-0.129102,-87.448433,336.257172,39,118,-0.362094,-0.053085,0.915776,0.139581,0
0.294043,-89.303749,340.707764,39,121,-0.36306,-0.009859,0.820121,0.139464,0
1.185737,-90.253258,343.068237,41,126,-0.375861,0.008781,0.677729,0.139639,0
0.4456,-92.230057,344.848267,43,129,-0.380553,0.01343,0.533912,0.139629,0
-1.274196,-93.248466,348.491302,48,128,-0.381519,0.014415,0.390085,0.139522,0
-0.677984,-93.266373,350.969116,47,129,-0.381737,0.014627,0.269147,0.1396,0
-0.832509,-92.019325,350.587097,45,129,-0.381775,0.014652,0.132552,0.139561,0
1.235681,-92.493248,350.111603,45,123,-0.381843,0.014739,0.066368,0.139658,0
1.720577,-93.500847,349.353455,45,123,-0.381787,0.014689,0.073242,0.139619,0
0.130948,-93.629364,350.418365,45,120,-0.381775,0.014646,0.084264,0.139474,0
0.631365,-93.71389,351.285797,45,118,-0.381825,0.01472,0.086533,0.139629,0
2.105451,-94.122704,350.570312,45,119,-0.381843,0.014733,0.086998,0.139648,0
1.824569,-94.277222,351.055695,45,120,-0.381762,0.01467,0.087163,0.139561,0
1.461841,-94.362503,351.37439,45,120,-0.381794,0.014664,0.087192,0.139571,0
1.289177,-94.74189,351.788055,45,120,-0.381837,0.014714,0.087153,0.139639,0
1.254682,-94.769005,352.573151,46,120,-0.381812,0.014733,0.087143,0.13961,0
1.440185,-94.709595,352.503632,46,120,-0.381756,0.01467,0.087211,0.139552,0
1.384426,-94.916031,352.793213,44,124,-0.381856,0.014664,0.087211,0.139552,0
